eegLowAlpha,eSenseMeditation,objectId,eegTheta,eegLowBeta,eegHighGamma,eegLowGamma,updatedAt,eegDelta,poorSignal,eegHighBeta,createdAt,eegHighAlpha,eSenseAttention
155207,90,9InK9DgkXw,408851,104441,13738,34574,2014-08-03T19:08:03.936Z,2292839,0,48294,2014-08-03T19:08:03.936Z,29596,35
0,0,ZGCZOoUr0I,0,0,0,0,2014-08-03T19:08:04.103Z,0,0,0,2014-08-03T19:08:04.103Z,0,0
6158,90,cbKsFZaZ9q,64031,10161,1903,2930,2014-08-03T19:08:04.736Z,806991,0,7363,2014-08-03T19:08:04.736Z,8455,40
0,0,tBZXFasEs8,0,0,0,0,2014-08-03T19:08:04.822Z,0,0,0,2014-08-03T19:08:04.822Z,0,0
6922,91,8ykhd7A6jG,31320,9581,900,730,2014-08-03T19:08:05.878Z,116306,0,3984,2014-08-03T19:08:05.878Z,14852,38
25986,84,tgysG9776R,98478,10322,1965,8192,2014-08-03T19:08:06.748Z,560213,0,7011,2014-08-03T19:08:06.748Z,12694,27
0,0,ZsmWZ4N7tR,0,0,0,0,2014-08-03T19:08:06.998Z,0,0,0,2014-08-03T19:08:06.998Z,0,0
0,0,D1ySGlVzub,0,0,0,0,2014-08-03T19:08:07.345Z,0,0,0,2014-08-03T19:08:07.345Z,0,0
8314,83,np1MYRLNJM,27660,2619,3606,4109,2014-08-03T19:08:07.759Z,328435,0,4911,2014-08-03T19:08:07.759Z,1552,34
0,0,o6HT8WAzJn,0,0,0,0,2014-08-03T19:08:07.943Z,0,0,0,2014-08-03T19:08:07.943Z,0,0
0,0,WbaMWmqS0s,0,0,0,0,2014-08-03T19:08:09.678Z,0,0,0,2014-08-03T19:08:09.678Z,0,0
1754,81,W9WKiJsKa6,36607,2593,921,2883,2014-08-03T19:08:09.739Z,117329,0,1859,2014-08-03T19:08:09.739Z,4570,21
0,0,9wa1QehitB,0,0,0,0,2014-08-03T19:08:10.290Z,0,0,0,2014-08-03T19:08:10.290Z,0,0
13291,94,ym4Bw6jIdW,52089,17482,8419,4087,2014-08-03T19:08:11.477Z,1681879,0,5665,2014-08-03T19:08:11.477Z,29092,27
10616,87,WFoVNKO9aP,44455,14428,3005,2306,2014-08-03T19:08:11.534Z,232886,0,10101,2014-08-03T19:08:11.534Z,23014,34
4000,74,VmGhVUvyok,271974,28000,17404,20710,2014-08-03T19:08:12.508Z,613218,0,12033,2014-08-03T19:08:12.508Z,26546,17
0,0,jZpPKlui2L,0,0,0,0,2014-08-03T19:08:12.695Z,0,0,0,2014-08-03T19:08:12.695Z,0,0
0,0,s7t9qF9Sxp,0,0,0,0,2014-08-03T19:08:12.693Z,0,0,0,2014-08-03T19:08:12.693Z,0,0
0,0,YmWURrkq22,0,0,0,0,2014-08-03T19:08:14.108Z,0,0,0,2014-08-03T19:08:14.108Z,0,0
6227,80,Ws0AucdsNE,6753,2044,589,1308,2014-08-03T19:08:14.189Z,8016,0,1293,2014-08-03T19:08:14.189Z,4631,21
0,0,AYnEV1VbKN,0,0,0,0,2014-08-03T19:08:14.197Z,0,0,0,2014-08-03T19:08:14.197Z,0,0
3303,83,jyKrQNMXTS,15120,2347,625,1175,2014-08-03T19:08:14.426Z,31705,0,2540,2014-08-03T19:08:14.426Z,1377,34
126115,75,4uyWLQL2x8,1078659,163175,50432,27493,2014-08-03T19:08:14.702Z,1637299,0,44405,2014-08-03T19:08:14.702Z,211084,16
0,0,fhy0BiNvn0,0,0,0,0,2014-08-03T19:08:15.026Z,0,0,0,2014-08-03T19:08:15.026Z,0,0
51822,78,d1OXE9uo9h,1244426,29160,12813,29085,2014-08-03T19:08:15.713Z,2168141,0,35167,2014-08-03T19:08:15.713Z,112727,13
0,0,OOCSuh6GxD,0,0,0,0,2014-08-03T19:08:15.990Z,0,0,0,2014-08-03T19:08:15.990Z,0,0
42989,60,eYbBCgHgMc,275270,58763,24510,17683,2014-08-03T19:08:16.692Z,1067723,0,33679,2014-08-03T19:08:16.692Z,28697,16
42738,69,xYBPHNx6Ci,156618,31672,9813,14326,2014-08-03T19:08:17.680Z,1023089,0,16045,2014-08-03T19:08:17.680Z,74642,8
